Equipes;Pts ;PJ;VIT;E;DER;GM;GC;SG;Últimas 5
México;3;1;1;0;0;2;0;2;V;0;0;0;0
Coreia do Sul;3;1;1;0;0;2;1;1;V;0;0;0;0
República Tcheca;0;1;0;0;1;1;-1;-1;D;0;0;0;0
África do Sul;0;1;0;0;1;0;-2;-2;D;0;0;0;0
Bósnia;1;1;0;1;0;1;1;0;E;0;0;0;0
Canadá;1;1;0;1;0;1;1;0;E;0;0;0;0
Catar;0;0;0;0;0;0;0;0;0;0;0;0;0
Suíça;0;0;0;0;0;0;0;0;0;0;0;0;0
Brasil;0;0;0;0;0;0;0;0;0;0;0;0;0
Escócia;0;0;0;0;0;0;0;0;0;0;0;0;0
Haiti;0;0;0;0;0;0;0;0;0;0;0;0;0
Marrocos;0;0;0;0;0;0;0;0;0;0;0;0;0
Austrália;0;0;0;0;0;0;0;0;0;0;0;0;0
Estados Unidos;0;0;0;0;0;0;0;0;0;0;0;0;0
Paraguai;0;0;0;0;0;0;0;0;0;0;0;0;0
Turquia;0;0;0;0;0;0;0;0;0;0;0;0;0
Alemanha;0;0;0;0;0;0;0;0;0;0;0;0;0
Costa do Marfim;0;0;0;0;0;0;0;0;0;0;0;0;0
Curaçao;0;0;0;0;0;0;0;0;0;0;0;0;0
Equador;0;0;0;0;0;0;0;0;0;0;0;0;0
Holanda;0;0;0;0;0;0;0;0;0;0;0;0;0
Japão;0;0;0;0;0;0;0;0;0;0;0;0;0
Suécia;0;0;0;0;0;0;0;0;0;0;0;0;0
Tunísia;0;0;0;0;0;0;0;0;0;0;0;0;0
Bélgica;0;0;0;0;0;0;0;0;0;0;0;0;0
Egito;0;0;0;0;0;0;0;0;0;0;0;0;0
Irã;0;0;0;0;0;0;0;0;0;0;0;0;0
Nova Zelândia;0;0;0;0;0;0;0;0;0;0;0;0;0
Arábia Saudita;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;0;0;0;0;0;0;0;0;0;0;0;0;0
Espanha;0;0;0;0;0;0;0;0;0;0;0;0;0
Uruguai;0;0;0;0;0;0;0;0;0;0;0;0;0
França;0;0;0;0;0;0;0;0;0;0;0;0;0
Iraque;0;0;0;0;0;0;0;0;0;0;0;0;0
Noruega;0;0;0;0;0;0;0;0;0;0;0;0;0
Senegal;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;0;0;0;0;0;0;0;0;0;0;0;0;0
Argélia;0;0;0;0;0;0;0;0;0;0;0;0;0
Jordânia;0;0;0;0;0;0;0;0;0;0;0;0;0
Áustria;0;0;0;0;0;0;0;0;0;0;0;0;0
Colômbia;0;0;0;0;0;0;0;0;0;0;0;0;0
Portugal;0;0;0;0;0;0;0;0;0;0;0;0;0
RD Congo;0;0;0;0;0;0;0;0;0;0;0;0;0
Uzbequistão;0;0;0;0;0;0;0;0;0;0;0;0;0
Croácia;0;0;0;0;0;0;0;0;0;0;0;0;0
Gana;0;0;0;0;0;0;0;0;0;0;0;0;0
Inglaterra;0;0;0;0;0;0;0;0;0;0;0;0;0
Panamá;0;0;0;0;0;0;0;0;0;0;0;0;0
